symbol,date,isEnabled
BLCM,2020-04-09,true
BLCN,2020-04-09,true
BLD,2020-04-09,true
BLDP,2020-04-09,true
BLDR,2020-04-09,true
BLE,2020-04-09,true
BLES,2020-04-09,true
BLFS,2020-04-09,true
BLHY,2020-04-09,true
BLIN,2020-04-09,true
BLK,2020-04-09,true
BLKB,2020-04-09,true
BLL,2020-04-09,true
BLMN,2020-04-09,true
BLNK,2020-04-09,true
BLNKW,2020-04-09,true
BLOK,2020-04-09,true
BLPH,2020-04-09,true
BLRX,2020-04-09,true
BLU,2020-04-09,true
BLUE,2020-04-09,true
BLV,2020-04-09,true
BLW,2020-04-09,true
BLX,2020-04-09,true
BMA,2020-04-09,true
BMAR,2020-04-09,false
BMCH,2020-04-09,true
BME,2020-04-09,true
BMEZ,2020-04-09,true
BMI,2020-04-09,true
BML-G,2020-04-09,true
BML-H,2020-04-09,true
BML-J,2020-04-09,true
BML-L,2020-04-09,true
BMLP,2020-04-09,true
BMO,2020-04-09,true
BMRA,2020-04-09,true
BMRC,2020-04-09,true
BMRN,2020-04-09,true
BMTC,2020-04-09,true
BMY,2020-04-09,true
BMY^,2020-04-09,true
BND,2020-04-09,true
BNDC,2020-04-09,true
BNDW,2020-04-09,true
BNDX,2020-04-09,true
BNED,2020-04-09,true
BNFT,2020-04-09,true
BNGO,2020-04-09,true
BNGOW,2020-04-09,true
BNKD,2020-04-09,true
BNKO,2020-04-09,true
BNKU,2020-04-09,true
BNKZ,2020-04-09,true
BNO,2020-04-09,true
BNOV,2020-04-09,true
BNS,2020-04-09,true
BNSO,2020-04-09,true
BNTC,2020-04-09,true
BNTCW,2020-04-09,true
BNTX,2020-04-09,true
BNY,2020-04-09,true
BOCH,2020-04-09,true
BOCT,2020-04-09,true
BOE,2020-04-09,true
BOH,2020-04-09,true
BOIL,2020-04-09,true
BOKF,2020-04-09,true
BOKFL,2020-04-09,true
BOMN,2020-04-09,true
BOND,2020-04-09,true
BOOM,2020-04-09,true
BOOT,2020-04-09,true
BORR,2020-04-09,true
